sequence,track,event_type,count
01,1,fragmented_gt_track,1
01,1,id_switch,1
01,20,fragmented_gt_track,1
01,20,id_switch,61
01,20,missed_gt_object,1
01,21,fragmented_gt_track,1
01,21,id_switch,50
01,26,fragmented_gt_track,1
01,26,id_switch,144
01,27,fragmented_gt_track,1
01,27,id_switch,161
01,31,fragmented_gt_track,1
01,31,id_switch,124
01,33,fragmented_gt_track,1
01,33,id_switch,118
01,34,fragmented_gt_track,1
01,34,id_switch,167
01,36,fragmented_gt_track,1
01,36,id_switch,81
01,39,fragmented_gt_track,1
01,39,id_switch,8
01,40,fragmented_gt_track,1
01,40,id_switch,68
01,46,fragmented_gt_track,1
01,46,id_switch,21
01,47,fragmented_gt_track,1
01,47,id_switch,1
01,51,fragmented_gt_track,1
01,51,id_switch,152
01,52,fragmented_gt_track,1
01,52,id_switch,98
01,54,fragmented_gt_track,1
01,54,id_switch,66
01,56,fragmented_gt_track,1
01,56,id_switch,52
01,57,fragmented_gt_track,1
01,57,id_switch,171
01,59,fragmented_gt_track,1
01,59,id_switch,152
01,61,fragmented_gt_track,1
01,61,id_switch,80
01,61,wrong_division_parent,1
01,62,fragmented_gt_track,1
01,62,id_switch,16
01,62,wrong_division_parent,1
